sofifa_id,value_mln_eur,wage_k_eur,release_clause_mln_eur
158023,78.0,320.0,144.3
188545,119.5,270.0,197.2
20801,45.0,270.0,83.3
190871,129.0,270.0,238.7
192985,125.5,350.0,232.2
200389,112.0,130.0,238.0
231747,194.0,230.0,373.5
167495,13.5,86.0,22.3
192448,99.0,250.0,210.4
202126,129.5,240.0,246.1
215914,100.0,230.0,185.0
165153,66.0,350.0,135.3
192119,85.5,250.0,181.7
200104,104.0,220.0,197.6
200145,88.0,310.0,180.4
203376,86.0,230.0,159.1
208722,101.0,270.0,186.9
209331,101.0,270.0,186.9
210257,94.0,200.0,181.0
212622,108.0,160.0,186.3
212831,82.0,190.0,157.9
230621,119.5,110.0,230.0
155862,24.0,115.0,44.4
176580,44.5,135.0,91.2
182521,75.0,310.0,153.8
192505,93.5,260.0,173.0
193041,15.5,130.0,28.7
202652,107.5,290.0,206.9
212198,107.5,250.0,206.9
239085,137.5,110.0,244.1
153079,51.0,260.0,104.6
167948,13.5,125.0,25.7
177003,32.0,190.0,65.6
183898,49.5,160.0,91.6
186153,42.0,105.0,69.3
189596,66.0,140.0,108.9
192387,67.5,125.0,114.8
195864,79.5,220.0,147.1
199556,79.5,155.0,147.1
207865,90.5,135.0,174.2
209658,93.0,140.0,160.4
211110,93.0,160.0,160.4
216267,83.5,175.0,160.7
228702,119.5,210.0,253.9
231281,114.0,150.0,219.5
233049,116.5,150.0,224.3
239818,102.5,170.0,197.3
138956,12.0,88.0,19.8
162835,7.5,78.0,12.8
178603,44.0,95.0,74.8
189332,47.0,200.0,96.4
189509,65.0,180.0,120.3
189511,45.0,200.0,92.3
189513,53.5,64.0,112.4
192984,52.0,88.0,92.3
198219,65.5,125.0,111.4
201024,55.5,105.0,94.4
201535,68.5,180.0,131.9
204485,65.5,220.0,121.2
208093,68.0,73.0,142.8
208830,33.0,180.0,62.7
209499,73.5,165.0,141.5
210514,71.5,185.0,137.6
212218,77.0,185.0,148.2
213345,81.0,120.0,139.7
218667,80.0,200.0,154.0
226161,88.0,95.0,187.0
231866,81.0,175.0,155.9
232363,74.0,150.0,131.4
143076,33.5,51.0,70.4
163587,9.0,115.0,17.1
164240,9.5,105.0,17.6
168542,22.0,44.0,46.2
177683,26.5,40.0,45.1
179813,26.0,190.0,48.1
183277,52.0,240.0,106.6
184344,17.5,110.0,28.9
185122,28.5,87.0,48.5
186942,51.5,185.0,95.3
188350,43.0,95.0,73.1
188377,39.0,170.0,72.2
188567,43.5,145.0,82.7
193747,52.5,90.0,107.6
194765,53.0,220.0,
198176,45.0,145.0,76.5
201942,54.0,185.0,99.9
202556,63.0,220.0,133.9
204963,47.5,210.0,97.4
205498,52.5,170.0,97.1
