sofifa_id,nationality_name,international_reputation,nation_jersey_number
158023,Argentina,5,10.0
188545,Poland,5,9.0
20801,Portugal,5,7.0
190871,Brazil,5,
192985,Belgium,4,7.0
200389,Slovenia,5,
231747,France,4,10.0
167495,Germany,5,1.0
192448,Germany,4,
202126,England,4,9.0
215914,France,4,13.0
165153,France,4,19.0
192119,Belgium,4,1.0
200104,Korea Republic,4,
200145,Brazil,3,
203376,Netherlands,4,4.0
208722,Senegal,4,
209331,Egypt,4,
210257,Brazil,3,
212622,Germany,4,6.0
212831,Brazil,3,
230621,Italy,3,21.0
155862,Spain,4,15.0
176580,Uruguay,5,
182521,Germany,4,
192505,Belgium,4,9.0
193041,Costa Rica,3,
202652,England,4,10.0
212198,Portugal,3,11.0
239085,Norway,4,23.0
153079,Argentina,4,9.0
167948,France,4,1.0
177003,Croatia,4,
183898,Argentina,4,11.0
186153,Poland,3,1.0
189596,Germany,4,
192387,Italy,4,17.0
195864,France,4,6.0
199556,Italy,3,6.0
207865,Brazil,3,
209658,Germany,4,8.0
211110,Argentina,3,21.0
216267,Scotland,3,3.0
228702,Netherlands,3,21.0
231281,England,3,22.0
233049,England,3,17.0
239818,Portugal,3,4.0
138956,Italy,4,3.0
162835,Slovenia,3,
178603,Germany,4,
189332,Spain,3,18.0
189509,Spain,3,10.0
189511,Spain,4,5.0
189513,Spain,2,
192984,Belgium,3,
198219,Italy,4,10.0
201024,Senegal,3,
201535,France,3,4.0
204485,Algeria,3,
208093,Spain,2,9.0
208830,England,3,
209499,Brazil,3,
210514,Portugal,3,20.0
212218,Spain,3,24.0
213345,France,4,20.0
218667,Portugal,2,10.0
226161,Spain,3,6.0
231866,Spain,3,16.0
232363,Slovakia,3,
143076,Argentina,3,17.0
163587,Denmark,2,1.0
164240,Brazil,4,
168542,Spain,4,
177683,Switzerland,3,
179813,Uruguay,4,
183277,Belgium,4,10.0
184344,Italy,3,19.0
185122,Hungary,3,1.0
186942,Germany,3,21.0
188350,Germany,4,
188377,England,3,2.0
188567,Gabon,3,
193747,Spain,3,8.0
194765,France,4,7.0
198176,Netherlands,3,6.0
201942,Brazil,3,
202556,Netherlands,3,10.0
204963,Spain,3,
205498,Italy,2,8.0
206113,Germany,4,10.0
223848,Serbia,3,
226790,Nigeria,1,
230142,Spain,2,21.0
231478,Argentina,3,22.0
231677,England,3,11.0
235212,Morocco,2,
235243,Netherlands,3,3.0
41236,Sweden,5,7.0
146536,Spain,2,
152729,Spain,4,
175943,Belgium,3,14.0
181291,Netherlands,3,8.0
183711,England,3,8.0
184134,Brazil,2,
186345,England,2,12.0
192629,Spain,2,
193080,Spain,4,1.0
197445,Austria,4,8.0
198706,Spain,2,
199434,Serbia,3,
199451,France,2,
200458,France,2,18.0
200647,Slovenia,3,
202811,Argentina,3,23.0
203263,England,3,6.0
204639,Montenegro,2,
204923,Austria,3,9.0
205988,England,2,3.0
206517,England,3,7.0
207862,Germany,3,
207863,Brazil,3,
208418,Belgium,3,11.0
208574,Serbia,3,
208670,Morocco,3,
209889,Portugal,3,5.0
210243,Portugal,3,
212188,Germany,3,9.0
215698,France,2,23.0
216352,Croatia,3,
216393,Belgium,2,8.0
216460,Uruguay,2,
216594,France,3,
222492,Germany,3,19.0
224232,Italy,3,18.0
224334,Argentina,2,8.0
228941,Portugal,3,9.0
230938,Côte d'Ivoire,3,
232656,France,3,
235790,Germany,3,7.0
237692,England,3,20.0
135507,Brazil,3,
169416,Mexico,3,
177413,Belgium,3,6.0
178750,Spain,2,
179645,Denmark,3,4.0
180930,Bosnia and Herzegovina,3,
183907,Germany,4,
184087,Belgium,3,2.0
184432,Spain,3,2.0
187961,Brazil,3,
189575,Spain,2,
190286,Spain,2,
190941,Finland,3,1.0
191043,Brazil,3,
192563,Germany,3,12.0
192774,Greece,3,
192883,Armenia,3,
193082,Colombia,3,
197061,Cameroon,2,
197655,Uruguay,3,
199845,Italy,3,15.0
199914,Brazil,2,
200610,Germany,2,
201153,Spain,3,7.0
201399,Argentina,3,
202884,Italy,3,
203574,England,2,5.0
203841,England,1,
204838,Mexico,3,9.0
204935,England,3,1.0
205452,Germany,2,2.0
205632,Argentina,2,
207410,Croatia,3,
209989,Ghana,2,
211688,Spain,3,14.0
213565,France,3,8.0
213648,Denmark,2,23.0
214997,Argentina,2,26.0
215333,Colombia,2,
216354,Croatia,3,
220651,Spain,2,
220814,France,3,22.0
220834,Spain,3,
223689,Netherlands,2,19.0
223697,Germany,3,20.0
225193,Spain,1,
225850,France,3,3.0
228618,France,1,
229880,England,2,
230481,Brazil,1,9.0
230658,Brazil,2,
230666,Brazil,2,
231443,France,3,
233064,England,3,19.0
234642,Senegal,2,
235805,Italy,3,14.0
239053,Uruguay,1,
241486,France,2,5.0
242444,Portugal,2,23.0
120533,Portugal,4,3.0
157481,Spain,3,
164835,Poland,2,
168435,Italy,3,1.0
168651,Croatia,3,
173731,Wales,4,11.0
178005,Portugal,3,1.0
178562,Argentina,3,
180206,Bosnia and Herzegovina,3,
183512,Spain,2,
187072,Germany,3,
188152,Brazil,3,
188943,Germany,3,22.0
189242,Brazil,4,
190460,Denmark,3,10.0
190815,Netherlands,3,17.0
192318,Germany,4,
193105,France,2,
193165,Mexico,3,17.0
193301,France,3,
193474,Senegal,2,
193525,Russia,2,
193698,Germany,2,
194404,Brazil,2,
197781,Spain,3,
198717,Côte d'Ivoire,2,
199110,Colombia,2,
199482,Portugal,2,12.0
199823,Spain,1,
201305,Brazil,2,
201519,France,2,17.0
202651,Spain,2,
203486,Belgium,2,16.0
205069,Spain,2,
205070,Spain,1,
208128,Turkey,3,
208333,Germany,3,
208421,Spain,3,
208461,Netherlands,3,15.0
209981,Morocco,1,
210035,Spain,3,
210413,Italy,2,
210935,Italy,2,11.0
211256,Argentina,3,3.0
211515,Italy,2,
212190,Germany,3,15.0
212462,Brazil,3,
212523,Brazil,2,
212616,Argentina,1,7.0
216547,Portugal,2,15.0
219693,Brazil,2,
220018,Croatia,1,
220440,France,2,21.0
220697,England,1,
222077,Italy,2,5.0
222665,Norway,3,10.0
224293,Portugal,2,18.0
224458,Portugal,2,21.0
225100,England,2,
226271,Spain,2,17.0
227796,United States,3,10.0
229391,Portugal,1,6.0
229558,France,2,
229668,Spain,1,
229906,Jamaica,3,
229984,England,2,
230168,Brazil,1,1.0
230375,Brazil,1,3.0
230869,Spain,3,23.0
231943,Brazil,3,
232488,Argentina,3,13.0
233096,Netherlands,3,22.0
233419,Brazil,2,
233731,Sweden,2,11.0
234378,England,1,4.0
234396,Canada,3,12.0
234943,Germany,2,24.0
235410,Morocco,2,
235569,France,1,
236792,Czech Republic,1,15.0
240130,Brazil,2,
241461,Spain,1,11.0
241464,Spain,2,4.0
241671,Croatia,2,
244260,Spain,3,19.0
45186,Spain,2,
124375,Turkey,2,
139068,Portugal,4,
153244,France,1,
156519,Mexico,3,16.0
163489,Italy,2,
163705,France,3,16.0
167664,Argentina,4,
171791,Portugal,3,
172871,Belgium,3,5.0
176266,Brazil,3,
178086,Spain,2,
181458,Croatia,3,
181872,Chile,4,
183574,Germany,2,
184200,Austria,3,7.0
187754,Ukraine,2,11.0
190674,France,2,
192366,Argentina,3,19.0
193283,Denmark,2,8.0
193314,Spain,1,
193983,Algeria,2,
195365,Slovenia,2,
195859,England,1,
197965,Portugal,3,
198164,Spain,2,
198710,Colombia,4,
199304,Brazil,2,
199564,Spain,3,
199987,Netherlands,3,
200260,Netherlands,2,11.0
200454,Spain,2,
200724,Spain,2,
200888,Portugal,3,13.0
200949,Brazil,3,
201095,Argentina,1,
202695,England,1,
203551,Italy,3,
204120,Czech Republic,1,1.0
204311,France,2,15.0
204525,Spain,2,
204638,Hungary,2,6.0
205175,Poland,3,
205569,England,2,
205659,Italy,1,
205678,Bosnia and Herzegovina,2,
206511,Germany,2,
207439,Argentina,2,5.0
208330,Belgium,1,
208448,Sweden,3,10.0
208596,Italy,3,
208618,Spain,2,
209297,Brazil,3,
210008,France,2,14.0
210385,Portugal,1,22.0
210406,Poland,3,20.0
210411,Portugal,1,16.0
210463,Venezuela,1,
211300,France,3,9.0
211990,Greece,1,1.0
212194,Germany,3,
214979,Argentina,1,12.0
215330,Argentina,1,16.0
216201,Spain,2,
216409,Italy,2,
216475,Spain,2,
217940,Togo,1,
220093,Netherlands,3,
220407,Slovakia,2,
221363,Netherlands,3,
221479,England,2,18.0
221992,Mexico,3,22.0
223952,Spain,1,
224081,England,2,14.0
224411,Portugal,2,
225375,Austria,2,20.0
226110,Côte d'Ivoire,2,
226166,France,2,
226226,Argentina,1,20.0
227127,Spain,1,
227950,Spain,2,
228251,Italy,2,
230225,Brazil,1,4.0
230256,Brazil,1,6.0
230258,Brazil,1,22.0
230294,Brazil,1,7.0
230347,Brazil,1,18.0
230430,Brazil,1,20.0
231969,Ukraine,3,8.0
232411,France,2,
233927,Brazil,2,
234153,Spain,2,
234742,England,1,
234906,France,2,
235374,Italy,2,
238074,England,2,
239231,Spain,1,
240950,Portugal,1,
241852,France,2,11.0
245279,Spain,1,
247263,Burkina Faso,2,
247394,Sweden,2,21.0
251573,Brazil,1,
251854,Spain,2,26.0
1179,Italy,4,
140233,Mexico,1,13.0
148119,Russia,3,
162347,Portugal,3,8.0
169588,Northern Ireland,2,5.0
171579,Spain,2,
171877,Slovakia,3,
172522,Denmark,2,18.0
173426,Belgium,3,12.0
176676,Brazil,4,
177388,France,3,
177509,Morocco,3,
177604,Spain,2,
178518,Belgium,3,
182493,Uruguay,3,
182494,Uruguay,3,
183855,Italy,2,
184941,Chile,4,
185020,Spain,3,
186561,Wales,3,20.0
187598,Italy,2,25.0
189117,Switzerland,3,
189271,France,2,
189690,Spain,2,
190972,Argentina,2,
193061,Argentina,2,
196432,Argentina,2,
197225,Uruguay,3,
197242,Poland,3,10.0
198009,Italy,2,
198031,Portugal,1,
198141,Spain,3,
198950,Spain,2,
198951,Congo DR,2,
199042,Chile,3,
199254,Brazil,1,
201119,Brazil,2,
201143,Algeria,1,
201400,Brazil,2,
201922,Austria,2,4.0
202024,Switzerland,2,
202166,Germany,3,
202325,Germany,2,
