sofifa_id,work_rate,overall,potential,pace,shooting,passing,dribbling,defending,physic,defending_sliding_tackle,skill_moves,weak_foot_points
158023,Medium/Low,93,93,85.0,92.0,91.0,95.0,34.0,65.0,24,4,4
188545,High/Medium,92,92,78.0,92.0,79.0,86.0,44.0,82.0,19,4,4
20801,High/Low,91,91,87.0,94.0,80.0,88.0,34.0,75.0,24,5,4
190871,High/Medium,91,91,91.0,83.0,86.0,94.0,37.0,63.0,29,5,5
192985,High/High,91,91,76.0,86.0,93.0,88.0,64.0,78.0,53,4,5
200389,Medium/Medium,91,93,,,,,,,18,1,3
231747,High/Low,91,95,97.0,88.0,80.0,92.0,36.0,77.0,32,5,4
167495,Medium/Medium,90,90,,,,,,,11,1,4
192448,Medium/Medium,90,92,,,,,,,10,1,4
202126,High/High,90,90,70.0,91.0,83.0,83.0,47.0,83.0,38,3,5
215914,Medium/High,90,90,78.0,66.0,75.0,82.0,87.0,83.0,86,2,3
165153,Medium/Medium,89,89,76.0,86.0,81.0,87.0,39.0,77.0,18,4,4
192119,Medium/Medium,89,91,,,,,,,16,1,3
200104,High/High,89,89,88.0,87.0,82.0,86.0,43.0,69.0,33,4,5
200145,High/High,89,89,65.0,73.0,76.0,73.0,86.0,90.0,87,2,3
203376,Medium/Medium,89,89,78.0,60.0,71.0,72.0,91.0,84.0,86,2,3
208722,High/Medium,89,89,91.0,83.0,80.0,89.0,44.0,77.0,38,4,4
209331,High/Medium,89,89,90.0,87.0,81.0,90.0,45.0,75.0,41,4,3
210257,Medium/Medium,89,91,,,,,,,8,1,3
212622,High/Medium,89,90,70.0,73.0,86.0,84.0,83.0,79.0,79,3,4
212831,Medium/Medium,89,90,,,,,,,16,1,3
230621,Medium/Medium,89,93,,,,,,,16,1,3
155862,High/Medium,88,88,70.0,70.0,76.0,74.0,88.0,84.0,91,3,3
176580,High/Medium,88,88,72.0,90.0,82.0,84.0,47.0,83.0,38,3,4
182521,Medium/Medium,88,88,53.0,81.0,91.0,81.0,71.0,68.0,60,3,5
192505,Medium/Medium,88,88,84.0,87.0,74.0,78.0,39.0,83.0,30,3,4
193041,Medium/Medium,88,88,,,,,,,14,1,3
202652,High/Medium,88,89,91.0,82.0,79.0,87.0,45.0,66.0,47,4,3
212198,High/High,88,89,75.0,86.0,89.0,84.0,70.0,77.0,65,4,3
239085,High/High,88,93,89.0,91.0,65.0,80.0,45.0,88.0,30,3,3
153079,High/Medium,87,87,71.0,89.0,75.0,87.0,33.0,69.0,24,4,4
167948,Medium/Medium,87,87,,,,,,,18,1,1
177003,Medium/Medium,87,87,73.0,76.0,89.0,88.0,72.0,66.0,71,4,4
183898,High/Medium,87,87,83.0,81.0,86.0,87.0,48.0,69.0,52,5,2
186153,Medium/Medium,87,87,,,,,,,12,1,3
189596,High/High,87,87,67.0,84.0,83.0,80.0,56.0,71.0,46,3,4
192387,High/Medium,87,87,86.0,87.0,67.0,81.0,39.0,77.0,32,3,4
195864,High/Medium,87,87,71.0,81.0,86.0,86.0,65.0,83.0,63,5,4
199556,Medium/High,87,87,64.0,61.0,87.0,91.0,79.0,67.0,84,4,4
207865,Medium/High,87,90,81.0,53.0,75.0,74.0,89.0,81.0,89,3,3
209658,High/Medium,87,88,81.0,82.0,82.0,84.0,81.0,86.0,77,3,4
211110,Medium/Medium,87,88,84.0,86.0,86.0,90.0,40.0,60.0,39,4,3
216267,High/High,87,88,84.0,61.0,81.0,81.0,82.0,76.0,81,3,2
228702,High/Medium,87,92,81.0,69.0,85.0,88.0,77.0,78.0,77,4,3
231281,High/Medium,87,92,79.0,68.0,88.0,80.0,80.0,72.0,79,3,4
233049,High/Medium,87,91,81.0,76.0,82.0,91.0,36.0,65.0,32,5,3
239818,Medium/High,87,91,61.0,38.0,65.0,68.0,88.0,88.0,85,2,4
138956,Medium/High,86,86,68.0,46.0,60.0,59.0,89.0,85.0,88,2,3
162835,Medium/Medium,86,86,,,,,,,13,1,3
178603,High/High,86,86,56.0,59.0,77.0,73.0,89.0,77.0,86,3,3
189332,High/Medium,86,86,86.0,69.0,81.0,83.0,77.0,71.0,80,3,3
189509,Medium/Medium,86,86,63.0,72.0,86.0,90.0,70.0,66.0,68,5,3
189511,Medium/Medium,86,86,42.0,62.0,79.0,80.0,82.0,75.0,81,3,3
189513,Medium/Medium,86,86,50.0,83.0,90.0,81.0,71.0,69.0,69,3,4
192984,Medium/Medium,86,87,,,,,,,17,1,2
198219,High/Medium,86,86,87.0,78.0,85.0,90.0,36.0,45.0,22,4,4
201024,Medium/High,86,86,81.0,28.0,51.0,65.0,87.0,85.0,86,2,3
201535,Medium/High,86,88,82.0,49.0,64.0,65.0,87.0,82.0,87,2,3
204485,Medium/Medium,86,86,81.0,79.0,81.0,90.0,38.0,60.0,22,5,4
208093,High/Medium,86,86,79.0,86.0,77.0,84.0,46.0,73.0,41,3,4
208830,High/Medium,86,86,85.0,84.0,70.0,80.0,52.0,73.0,54,3,4
209499,Medium/High,86,88,67.0,69.0,78.0,78.0,85.0,83.0,85,3,2
210514,High/Medium,86,87,85.0,71.0,83.0,84.0,80.0,72.0,80,4,4
