sofifa_id,preferred_foot,body_type,age,height_cm,weight_kg
158023,Left,Unique,34,170,72
188545,Right,Unique,32,185,81
20801,Right,Unique,36,187,83
190871,Right,Unique,29,175,68
192985,Right,Unique,30,181,70
200389,Right,Unique,28,188,87
231747,Right,Unique,22,182,73
167495,Right,Unique,35,193,93
192448,Right,Unique,29,187,85
202126,Right,Unique,27,188,89
215914,Right,Unique,30,168,70
165153,Right,Normal (170-185),33,185,81
192119,Left,Unique,29,199,96
200104,Right,Unique,28,183,78
200145,Right,Unique,29,185,84
203376,Right,Unique,29,193,92
208722,Right,Unique,29,175,69
209331,Left,Unique,29,175,71
210257,Left,Unique,27,188,86
212622,Right,Lean (170-185),26,177,75
212831,Right,Unique,28,191,91
230621,Right,Unique,22,196,90
155862,Right,Unique,35,184,82
176580,Right,Unique,34,182,83
182521,Right,Normal (170-185),31,183,76
192505,Left,Unique,28,191,94
193041,Right,Normal (185+),34,185,80
202652,Right,Unique,26,170,69
212198,Right,Unique,26,179,69
239085,Left,Unique,20,194,94
153079,Right,Unique,33,173,70
167948,Left,Unique,34,188,82
177003,Right,Lean (170-185),35,172,66
183898,Left,Unique,33,180,69
186153,Right,Lean (185+),31,195,90
189596,Right,Lean (185+),31,185,76
192387,Right,Unique,31,185,85
195864,Right,Unique,28,191,84
199556,Right,Unique,28,165,60
207865,Right,Normal (170-185),27,183,75
209658,Right,Unique,26,189,82
211110,Left,Unique,27,177,75
216267,Left,Unique,27,178,64
228702,Right,Unique,24,180,74
231281,Right,Unique,22,180,69
233049,Right,Unique,21,180,76
239818,Right,Normal (185+),24,187,82
138956,Left,Normal (185+),36,187,85
162835,Right,Unique,36,193,92
178603,Right,Normal (185+),32,191,96
189332,Left,Unique,32,170,68
189509,Right,Normal (170-185),30,174,70
189511,Right,Lean (185+),32,189,76
189513,Right,Lean (170-185),32,182,74
192984,Left,Normal (185+),29,197,86
198219,Right,Unique,30,163,59
201024,Right,Unique,30,187,89
201535,Right,Unique,28,191,81
204485,Left,Unique,30,179,67
208093,Left,Lean (170-185),29,180,77
208830,Right,Unique,34,179,74
209499,Right,Unique,27,188,78
210514,Right,Unique,27,182,74
212218,Left,Unique,27,191,85
213345,Right,Unique,25,180,76
218667,Left,Lean (170-185),26,173,64
226161,Right,Lean (170-185),26,184,74
231866,Right,Normal (185+),25,191,82
232363,Right,Unique,26,188,80
143076,Right,Normal (170-),33,167,68
163587,Right,Stocky (185+),34,189,89
164240,Right,Normal (170-185),36,183,79
168542,Left,Normal (170-185),35,173,67
177683,Right,Normal (170-185),32,183,79
179813,Right,Unique,34,185,77
183277,Right,Unique,30,175,74
184344,Right,Lean (185+),34,190,85
185122,Right,Normal (185+),31,191,86
186942,Right,Normal (170-185),30,180,80
188350,Right,Unique,32,180,71
188377,Right,Unique,31,183,83
188567,Right,Unique,32,187,80
193747,Right,Normal (170-185),29,176,75
194765,Left,Unique,30,176,73
198176,Right,Unique,29,189,78
201942,Right,Unique,29,181,76
202556,Right,Unique,27,176,78
204963,Right,Unique,29,173,73
205498,Right,Lean (170-185),29,180,68
206113,Right,Unique,25,176,77
223848,Right,Normal (185+),26,191,76
226790,Right,Lean (170-185),24,183,74
230142,Left,Lean (170-185),24,181,79
231478,Right,Unique,23,174,72
231677,Right,Unique,23,186,70
235212,Right,Lean (170-185),22,181,73
235243,Right,Unique,21,189,89
41236,Right,Unique,39,195,95
146536,Right,Lean (170-),35,172,60
152729,Right,Unique,34,194,85
175943,Right,Unique,34,169,61
181291,Right,Unique,30,175,74
183711,Right,Normal (170-185),31,182,80
184134,Right,Lean (170-185),33,183,76
